सुख,3,2,1,2
प्रेम,2,2,1,1
बल,2,3,1,1
तप,1,2,1,1
योग,1,2,1,1
शील,1,1,1,1
ज्ञान,1,1,1,1
धर्म,1,1,1,1
सत्य,1,1,1,1
कर्म,1,1,1,1
शांति,1,1,1,1
धैर्य,1,1,1,1
वीर,1,1,1,1
पुण्य,1,1,1,1
गुण,1,1,1,1
भक्ति,1,1,1,1
आशा,1,1,1,1
नीत,1,1,1,1
मित्र,1,1,1,1
भाव,1,1,1,1
सुकून,1,1,1,1
उदार,1,1,1,1
समर्पण,1,1,1,1
प्रसन्न,1,1,1,1
सशक्त,1,1,1,1
सुंदर,1,1,1,1
शुभम,1,1,1,1
अद्भुत,1,1,1,1
सकारात्मक,1,1,1,1
आत्मा,1,1,1,1
निष्ठा,1,1,1,1
विनम्र,1,1,1,1
प्रेरणा,1,1,1,1
अनुग्रह,1,1,1,1
संयम,1,1,1,1
सौम्य,1,1,1,1
मंगल,1,1,1,1
निर्मल,1,1,1,1
सहज,1,1,1,1
गौरव,1,1,1,1
परोपकार,1,1,1,1
संवेदनशील,1,1,1,1
आत्मविश्वास,1,1,1,1
दयालुता,1,1,1,1
सहयोगिता,1,1,1,1
सरलता,1,1,1,1
सजगता,1,1,1,1
संतुलन,1,1,1,1
सौहार्दता,1,1,1,1
महानता,1,1,1,1
कृतज्ञता,1,1,1,1
आभार,1,1,1,1
स्नेहमयता,1,1,1,1
सृजनशीलता,1,1,1,1
उदारता,1,1,1,1
प्रेरणादायक,1,1,1,1
समाधान,1,1,1,1
आत्मनिर्भरता,1,1,1,1
प्रेरणास्रोत,1,1,1,1
संवेदनशीलता,1,1,1,1
सुख,3,2,1,2
प्रेम,2,2,1,1
बल,2,3,1,1
तप,1,2,1,1
योग,1,2,1,1
शील,1,1,1,1
ज्ञान,1,1,1,1
धर्म,1,1,1,1
सत्य,1,1,1,1
कर्म,1,1,1,1
शांति,1,1,1,1
धैर्य,1,1,1,1
वीर,1,1,1,1
पुण्य,1,1,1,1
गुण,1,1,1,1
भक्ति,1,1,1,1
आशा,1,1,1,1
नीत,1,1,1,1
मित्र,1,1,1,1
भाव,1,1,1,1
सुकून,1,1,1,1
उदार,1,1,1,1
समर्पण,1,1,1,1
प्रसन्न,1,1,1,1
सशक्त,1,1,1,1
सुंदर,1,1,1,1
शुभम,1,1,1,1
अद्भुत,1,1,1,1
सकारात्मक,1,1,1,1
आत्मा,1,1,1,1
निष्ठा,1,1,1,1
विनम्र,1,1,1,1
प्रेरणा,1,1,1,1
अनुग्रह,1,1,1,1
संयम,1,1,1,1
सौम्य,1,1,1,1
मंगल,1,1,1,1
निर्मल,1,1,1,1
सहज,1,1,1,1
गौरव,1,1,1,1
परोपकार,1,1,1,1
संवेदनशील,1,1,1,1
आत्मविश्वास,1,1,1,1
दयालुता,1,1,1,1
सहयोगिता,1,1,1,1
सरलता,1,1,1,1
सजगता,1,1,1,1
संतुलन,1,1,1,1
सौहार्दता,1,1,1,1
महानता,1,1,1,1
कृतज्ञता,1,1,1,1
आभार,1,1,1,1
स्नेहमयता,1,1,1,1
सृजनशीलता,1,1,1,1
उदारता,1,1,1,1
प्रेरणादायक,1,1,1,1
समाधान,1,1,1,1
आत्मनिर्भरता,1,1,1,1
प्रेरणास्रोत,1,1,1,1
संवेदनशीलता,1,1,1,1
